,Id,Origem,Fonte,Não enviar e-mail,Não ligar,Convertido,Total de visitas,Tempo gasto no site,Páginas por visita,Última atividade,País,Área de Interesse,Como soube de nós,Ocupação,Tags,Qualidade do Lead,Perfil de Lead,Cidade,Última atividade notável
21,660478,API Externa,Google,Não,Não,0,4.0,377,1.33,Página Visitada no Site,Brasil,Programação,,Desempregado,Reorganizando a Agenda,Com Certeza Não,Lead em Potencial,Rio de Janeiro,Modificação nos Dados Pessoais
22,660471,Landing Page Submission,Google,Não,Não,1,1.0,1013,1.0,Converteu como Lead,Brasil,"Bancos, Investimentos e Seguros",Anúncios,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,São Paulo,Modificação nos Dados Pessoais
23,660461,Landing Page Submission,Google,Não,Não,0,4.0,771,4.0,Link do E-mail Clicado,Brasil,Finanças,Indicação de Clientes,Desempregado,Tocando,Incerto,Lead Encontrado,São Paulo,Link do E-mail Clicado
24,660458,API Externa,Google,Não,Não,1,6.0,1137,1.5,E-mail Aberto,Brasil,Marketing,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,São Paulo,E-mail Aberto
25,660447,Landing Page Submission,Google,Não,Não,1,3.0,1068,3.0,Furmulário Submetido no Site,Brasil,Viagens e Turismo,Outros,Desempregado,Ocupado,Incerto,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
26,660432,Landing Page Submission,Busca Orgânica,Não,Não,1,4.0,1000,2.0,E-mail Aberto,Brasil,Finanças,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,Outras Cidades,E-mail Aberto
27,660424,Landing Page Submission,Google,Não,Não,1,6.0,1315,6.0,E-mail Aberto,Brasil,Mídia e Publicidade,Pesquisa Online,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,São Paulo,E-mail Aberto
28,660423,Landing Page Submission,Tráfego Direto,Não,Não,0,5.0,182,5.0,E-mail Aberto,Brasil,Programação,,Estudante,Desligado,,Lead Encontrado,São Paulo,E-mail Aberto
29,660410,API Externa,Google,Não,Não,1,3.0,78,3.0,Inacessível,Brasil,Negócios Internacionais,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,São Paulo,Inacessível
30,660402,Landing Page Submission,Tráfego Direto,Não,Não,1,7.0,1174,3.5,E-mail Aberto,Brasil,Recursos Humanos,,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead Encontrado,São Paulo,E-mail Aberto
31,660374,API Externa,Google,Não,Não,0,3.0,88,1.5,E-mail Aberto,Brasil,Programação,,Desempregado,Interesse em Outros Cursos,Incerto,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
32,660361,API Externa,WebSite de Parceiros,Não,Não,0,4.0,223,2.0,Página Visitada no Site,Brasil,Programação,,Desempregado,Interesse em Outros Cursos,Provavelmente Não,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
33,660339,API Externa,Busca Orgânica,Não,Não,0,3.0,74,1.5,E-mail Aberto,Brasil,,,,,,,,Modificação nos Dados Pessoais
34,660333,Landing Page Submission,Busca Orgânica,Não,Não,1,4.0,16,2.0,Página Visitada no Site,Brasil,E-COMMERCE,,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead em Potencial,São Paulo,Modificação nos Dados Pessoais
35,660321,API Externa,WebSite de Parceiros,Não,Não,1,3.0,98,3.0,E-mail Aberto,Brasil,Recursos Humanos,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,Guarulhos,Modificação nos Dados Pessoais
36,660312,Landing Page Submission,Google,Não,Não,0,4.0,1622,4.0,Inacessível,Brasil,Gerenciamento de Operações,Conversa com Amigos,Desempregado,Tocando,Talvez,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
37,660267,Landing Page Submission,Google,Não,Não,1,5.0,563,5.0,E-mail Aberto,Brasil,Finanças,Indicação de Clientes,Profissional CLT,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,São Paulo,E-mail Aberto
38,660255,API Externa,Google,Não,Não,0,2.0,310,2.0,Link do E-mail Clicado,Brasil,Programação,,Desempregado,Tocando,Incerto,Lead Encontrado,Rio de Janeiro,Link do E-mail Clicado
39,660236,Landing Page Submission,Google,Não,Não,1,4.0,25,4.0,E-mail Aberto,Brasil,Gerenciamento de Operações,E-mail,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,Interior de SP,E-mail Aberto
40,660235,API Externa,Tráfego Direto,Não,Não,0,3.0,342,3.0,E-mail Aberto,Brasil,Programação,,Desempregado,Ocupado,,Lead Encontrado,Rio de Janeiro,E-mail Aberto
41,660222,Landing Page Submission,Busca Orgânica,Sim,Não,0,7.0,38,7.0,Cancelamento,Brasil,Gestão de Varejo,Conversa com Amigos,Desempregado,Ocupado,Incerto,Outros Leads,São Paulo,Cancelamento
42,660215,API Externa,Google,Não,Não,0,5.0,199,5.0,E-mail Aberto,Brasil,Programação,,Desempregado,Tocando,,Lead Encontrado,Rio de Janeiro,E-mail Aberto
43,660203,Landing Page Submission,Google,Não,Não,0,5.0,222,5.0,E-mail Aberto,Brasil,Finanças,Pesquisa Online,,,,,São Paulo,E-mail Aberto
44,660194,Landing Page Submission,Tráfego Direto,Não,Não,0,6.0,275,3.0,E-mail Aberto,Brasil,Gerenciamento de Operações,,Desempregado,Telefone Fixo,,Lead Encontrado,São Paulo,E-mail Aberto
45,660180,Landing Page Submission,Google,Não,Não,0,4.0,287,2.0,E-mail Aberto,Brasil,Marketing,Outros,Desempregado,Tocando,Talvez,Lead Encontrado,São Paulo,E-mail Aberto
46,660174,Landing Page Submission,Tráfego Direto,Não,Não,0,2.0,547,2.0,E-mail Aberto,Brasil,Finanças,,Desempregado,Já é Estudante,Provavelmente Sim,Lead em Potencial,São Paulo,E-mail Aberto
47,660153,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,,,,,,,,Modificação nos Dados Pessoais
48,660149,API Externa,Google,Não,Não,0,6.0,1225,6.0,Página Visitada no Site,Brasil,Gestão da Cadeia de Suprimentos,,Desempregado,Portador de Diploma (Não Elegível),Com Certeza Não,Outros Leads,Guarulhos,Modificação nos Dados Pessoais
49,660128,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,,,,,,,,Modificação nos Dados Pessoais
50,660087,API Externa,ChatBot,Não,Não,1,0.0,0,0.0,E-mail Aberto,,Programação,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,Guarulhos,Modificação nos Dados Pessoais
51,660070,Landing Page Submission,Google,Não,Não,0,5.0,160,5.0,E-mail Aberto,Brasil,Administração de Empresas,Pesquisa Online,Desempregado,Já é Estudante,,Lead Encontrado,São Paulo,E-mail Aberto
52,660069,Landing Page Submission,Busca Orgânica,Não,Não,0,6.0,394,2.0,Inacessível,Brasil,E-COMMERCE,,Desempregado,Tocando,Talvez,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
53,660050,API Externa,Google,Não,Não,0,6.0,286,1.5,Conversa com Chatbot,Brasil,,,,,,,,Modificação nos Dados Pessoais
54,660048,API Externa,Busca Orgânica,Não,Não,0,7.0,96,2.33,E-mail Aberto,Brasil,,,,,,,,E-mail Aberto
55,660030,API Externa,Busca Orgânica,Não,Não,0,2.0,12,2.0,E-mail Aberto,Brasil,Programação,,Desempregado,Desligado,,Lead Encontrado,Rio de Janeiro,E-mail Aberto
56,659998,Landing Page Submission,WebSite de Parceiros,Não,Não,1,13.0,436,13.0,Furmulário Submetido no Site,Brasil,Gerenciamento de Projetos de TI,Pesquisa Online,Desempregado,Ocupado,Provavelmente Não,Lead em Potencial,Outra Região Metropolitana,Modificação nos Dados Pessoais
57,659963,API Externa,WebSite de Parceiros,Não,Não,1,8.0,903,8.0,Página Visitada no Site,Brasil,Finanças,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,Interior de SP,Página Visitada no Site
58,659942,Landing Page Submission,Busca Orgânica,Não,Não,0,17.0,409,8.5,E-mail Aberto,Brasil,Recursos Humanos,,Desempregado,Interesse em Outros Cursos,,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
59,659937,Landing Page Submission,WebSite de Parceiros,Não,Não,0,11.0,685,5.5,E-mail Aberto,Brasil,Gerência de Qualidade,,Desempregado,Graduação em Andamento,Incerto,Lead Encontrado,Guarulhos,E-mail Aberto
60,659931,API Externa,Google,Não,Não,0,4.0,213,4.0,Furmulário Submetido no Site,Brasil,Negócios Internacionais,Várias Fontes,Desempregado,Interesse em Outros Cursos,Incerto,Outros Leads,São Paulo,Modificação nos Dados Pessoais
61,659925,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,E-mail Aberto,,Programação,,Desempregado,Tocando,,Lead Encontrado,Rio de Janeiro,E-mail Aberto
62,659918,API Externa,Busca Orgânica,Não,Não,1,7.0,1468,3.5,Página Visitada no Site,Brasil,Marketing,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,São Paulo,Modificação nos Dados Pessoais
63,659896,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Link do E-mail Clicado,,,,,,,,,Modificação nos Dados Pessoais
64,659889,Landing Page Submission,Tráfego Direto,Não,Não,1,4.0,1435,4.0,E-mail Aberto,Brasil,Gerenciamento de Operações,,Profissional CLT,Será Revertido Após Ler o E-mail,Talvez,Lead em Potencial,Outras Cidades,E-mail Aberto
65,659875,Landing Page Submission,Google,Não,Não,1,1.0,157,1.0,Converteu como Lead,Brasil,Gestão de Hospitalidade,Conversa com Amigos,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead Encontrado,Interior de SP,Modificação nos Dados Pessoais
66,659853,API Externa,Google,Não,Não,1,3.0,885,1.5,Conversa por Telefone,Brasil,Gerenciamento de Operações,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,São Paulo,Conversa por Telefone
67,659849,API Externa,ChatBot,Não,Não,1,0.0,0,0.0,E-mail Aberto,,Programação,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,Interior de SP,Modificação nos Dados Pessoais
68,659833,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Visualizou o Link no WebSite,,Finanças,,Desempregado,Interesse em Outros Cursos,Provavelmente Não,Outros Leads,Rio de Janeiro,Modificação nos Dados Pessoais
69,659830,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,Programação,,Desempregado,Tocando,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
70,659819,Landing Page Submission,Tráfego Direto,Não,Não,0,1.0,1710,1.0,Converteu como Lead,Brasil,Gestão de Varejo,,Desempregado,Já é Estudante,Com Certeza Não,Lead em Potencial,Guarulhos,Modificação nos Dados Pessoais
71,659820,Landing Page Submission,Tráfego Direto,Não,Não,0,4.0,219,4.0,E-mail Aberto,Brasil,Administração de Empresas,Conversa com Amigos,Desempregado,Tocando,,Lead Encontrado,São Paulo,E-mail Aberto
72,659806,Landing Page Submission,WebSite de Parceiros,Sim,Não,0,3.0,111,3.0,E-mail Descartado,Brasil,Negócios Internacionais,,Desempregado,Tocando,Incerto,Lead Encontrado,Outra Região Metropolitana,Modificação nos Dados Pessoais
73,659784,API Externa,Busca Orgânica,Não,Não,0,6.0,224,6.0,Página Visitada no Site,Brasil,Programação,,Desempregado,Desligado,Incerto,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
74,659782,Landing Page Submission,Tráfego Direto,Não,Não,0,5.0,224,1.67,Página Visitada no Site,Brasil,Gerenciamento de Operações,,,,,,Interior de SP,Página Visitada no Site
75,659779,Landing Page Submission,Tráfego Direto,Não,Não,1,2.0,1071,2.0,E-mail Aberto,Brasil,Marketing,,Desempregado,Caixa Postal,Incerto,Lead Encontrado,Interior de SP,E-mail Aberto
76,659727,Landing Page Submission,Google,Não,Não,1,6.0,595,3.0,E-mail Aberto,Brasil,"Bancos, Investimentos e Seguros",Conversa com Amigos,Profissional CLT,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,São Paulo,E-mail Aberto
77,659722,Lead Add Form,WebSite da Empresa,Não,Não,1,,1096,,,,Programação,,Desempregado,,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
78,659720,API Externa,WebSite de Parceiros,Não,Não,0,4.0,520,4.0,E-mail Aberto,Brasil,Gerenciamento de Operações,Indicação de Clientes,Desempregado,Telefone Fixo,,Lead Encontrado,São Paulo,E-mail Aberto
79,659710,Lead Add Form,Google Ads,Não,Não,1,,705,,,,Gestão de Hospitalidade,,Profissional CLT,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,Guarulhos,Modificação nos Dados Pessoais
80,659708,API Externa,Google,Não,Não,0,2.0,393,2.0,E-mail Aberto,Brasil,Programação,,Desempregado,Tocando,Incerto,Outros Leads,Rio de Janeiro,E-mail Aberto
81,659705,Lead Add Form,WebSite da Empresa,Não,Não,1,,346,,,,Programação,,Desempregado,,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
82,659704,API Externa,ChatBot,Não,Não,1,0.0,0,0.0,Link do E-mail Clicado,,Gerenciamento de Operações,,Profissional CLT,Será Revertido Após Ler o E-mail,Talvez,Lead em Potencial,Rio de Janeiro,Link do E-mail Clicado
83,659700,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,,,,,,,,Modificação nos Dados Pessoais
84,659696,Landing Page Submission,Google,Não,Não,1,3.0,1136,3.0,Página Visitada no Site,Brasil,Gerenciamento de Projetos de TI,Outros,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
85,659685,API Externa,WebSite de Parceiros,Não,Não,0,3.0,335,3.0,E-mail Aberto,Brasil,Programação,,Desempregado,Tocando,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
86,659676,API Externa,WebSite de Parceiros,Não,Não,0,4.0,75,4.0,E-mail Aberto,Brasil,Programação,,Desempregado,Tocando,,Lead Encontrado,Rio de Janeiro,E-mail Aberto
87,659644,Landing Page Submission,Tráfego Direto,Não,Não,0,6.0,97,3.0,E-mail Aberto,Brasil,Gestão da Cadeia de Suprimentos,,,,,,São Paulo,E-mail Aberto
88,659631,Lead Add Form,Google Ads,Não,Não,1,,1007,,,,Recursos Humanos,,Desempregado,Fez Cursos em Outras Empresas,Provavelmente Sim,Aluno Parcial,São Paulo,Modificação nos Dados Pessoais
89,659630,Landing Page Submission,Busca Orgânica,Não,Não,0,2.0,1085,2.0,Converteu como Lead,Brasil,Rural e Agronegócio,,Desempregado,Interesse em Outros Cursos,,Lead Encontrado,Interior de SP,Modificação nos Dados Pessoais
90,659614,API Externa,Busca Orgânica,Não,Não,0,3.0,214,3.0,Página Visitada no Site,Brasil,Programação,,Desempregado,Interesse em Outros Cursos,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
91,659607,API Externa,ChatBot,Não,Não,1,6.0,1158,1.5,E-mail Aberto,Brasil,Administração de Empresas,,Desempregado,,,Lead Encontrado,Outras Cidades,E-mail Aberto
92,659600,Landing Page Submission,Google,Não,Não,0,4.0,101,4.0,E-mail Aberto,Brasil,Finanças,Outros,,,,,São Paulo,E-mail Aberto
93,659582,Landing Page Submission,Google,Não,Não,0,9.0,838,4.5,E-mail Aberto,Brasil,Gestão de Saúde,Conversa com Amigos,,,,,São Paulo,E-mail Aberto
94,659567,Landing Page Submission,Tráfego Direto,Não,Não,0,3.0,536,3.0,Inacessível,Brasil,Finanças,,Desempregado,Número Não Fornecido,Incerto,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
95,659562,Landing Page Submission,Tráfego Direto,Não,Não,0,4.0,161,2.0,Inacessível,Brasil,Marketing,,Desempregado,Ocupado,Incerto,Lead Encontrado,Rio de Janeiro,Inacessível
96,659555,Landing Page Submission,Google,Não,Não,0,2.0,511,2.0,Furmulário Submetido no Site,Brasil,Gestão de Saúde,Indicação de Clientes,Desempregado,Portador de Diploma (Não Elegível),,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
97,659545,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,Programação,,Desempregado,Não Chamou,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
98,659523,API Externa,Google,Não,Não,1,5.0,1110,5.0,Conversa com Chatbot,Brasil,Recursos Humanos,,Profissional CLT,Será Revertido Após Ler o E-mail,Talvez,Lead em Potencial,Rio de Janeiro,Modificação nos Dados Pessoais
99,659507,Landing Page Submission,Tráfego Direto,Não,Não,1,5.0,1563,5.0,E-mail Aberto,Brasil,Finanças,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Lead em Potencial,São Paulo,E-mail Aberto
100,659492,API Externa,WebSite de Parceiros,Não,Não,0,7.0,1633,3.5,Converteu como Lead,Brasil,Programação,,Desempregado,Tocando,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
101,659480,API Externa,ChatBot,Não,Não,1,0.0,0,0.0,E-mail Aberto,,Programação,,Desempregado,,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
102,659474,Landing Page Submission,Google,Não,Não,0,12.0,809,4.0,Inacessível,Brasil,Finanças,Pesquisa Online,,,,,São Paulo,Modificação nos Dados Pessoais
103,659469,Landing Page Submission,Tráfego Direto,Não,Não,0,2.0,638,2.0,Página Visitada no Site,Brasil,Gestão de Saúde,,Desempregado,Desligado,,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
104,659463,API Externa,Google,Não,Não,1,5.0,1196,5.0,Página Visitada no Site,Brasil,Programação,,Desempregado,,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
105,659447,Landing Page Submission,Busca Orgânica,Não,Não,0,6.0,1485,6.0,E-mail Aberto,Brasil,Gestão da Cadeia de Suprimentos,,Desempregado,Tocando,,Lead Encontrado,Outras Cidades,E-mail Aberto
106,659438,API Externa,Google,Não,Não,0,9.0,125,3.0,Página Visitada no Site,Brasil,,,,Interesse em Outros Cursos,,,,Modificação nos Dados Pessoais
107,659437,API Externa,Google,Não,Não,1,3.0,165,3.0,Conversa com Chatbot,Brasil,Programação,,Desempregado,,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
108,659411,Landing Page Submission,Google,Não,Não,0,6.0,398,3.0,Conversa com Chatbot,Brasil,E-COMMERCE,Indicação de Clientes,,,,,São Paulo,Conversa com Chatbot
109,659407,API Externa,Busca Orgânica,Não,Não,0,3.0,570,3.0,Converteu como Lead,Brasil,,,,Interesse em Outros Cursos,,,,Modificação nos Dados Pessoais
110,659395,Landing Page Submission,Busca Orgânica,Não,Não,1,6.0,895,6.0,E-mail Aberto,Brasil,Gerenciamento de Operações,,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Aluno de Dupla Especialização,Interior de SP,E-mail Aberto
111,659371,Landing Page Submission,Google,Não,Não,1,4.0,1190,4.0,E-mail Aberto,Brasil,Recursos Humanos,Várias Fontes,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead Encontrado,São Paulo,E-mail Aberto
112,659369,Lead Add Form,Google Ads,Não,Não,1,0.0,0,0.0,Link do E-mail Clicado,,Administração de Empresas,,Profissional CLT,Fez Cursos em Outras Empresas,Provavelmente Sim,Lead em Potencial,Rio de Janeiro,Link do E-mail Clicado
113,659366,API Externa,Tráfego Direto,Não,Não,0,5.0,1566,5.0,Converteu como Lead,Brasil,Programação,,Desempregado,Graduação em Andamento,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
114,659364,API Externa,Google,Não,Não,1,5.0,727,5.0,E-mail Aberto,Brasil,Programação,,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Sim,Aluno de Dupla Especialização,Guarulhos,E-mail Aberto
115,659357,Landing Page Submission,Google,Não,Não,0,8.0,652,4.0,Inacessível,Brasil,Gestão de Hospitalidade,Outros,Desempregado,Tocando,,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
116,659345,API Externa,Busca Orgânica,Não,Não,0,4.0,1248,1.33,E-mail Aberto,Brasil,,,,,,,,E-mail Aberto
117,659334,API Externa,Google,Não,Não,0,2.0,767,2.0,E-mail Aberto,Brasil,Programação,,Desempregado,Já é Estudante,Com Certeza Não,Aluno de Outra Empresa,Rio de Janeiro,Modificação nos Dados Pessoais
118,659293,API Externa,WebSite de Parceiros,Não,Não,0,10.0,275,3.33,Página Visitada no Site,Brasil,Programação,,Desempregado,Interesse em Outros Cursos,,Lead Encontrado,Rio de Janeiro,Página Visitada no Site
119,659287,API Externa,Busca Orgânica,Não,Não,0,3.0,273,3.0,Converteu como Lead,Brasil,Programação,,Desempregado,Desligado,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
120,659283,Lead Add Form,Google Ads,Não,Não,1,,1111,,,,Marketing,,Profissional CLT,Fez Cursos em Outras Empresas,Provavelmente Não,Lead em Potencial,Outras Cidades,Modificação nos Dados Pessoais
121,659281,Landing Page Submission,Google,Não,Não,0,8.0,277,4.0,E-mail Aberto,Brasil,Finanças,Pesquisa Online,,,,,São Paulo,E-mail Aberto
122,659263,API Externa,Busca Orgânica,Não,Não,1,3.0,1207,1.5,Conversa com Chatbot,Brasil,Programação,,Desempregado,,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
123,659248,API Externa,Google,Não,Não,0,2.0,39,1.0,Converteu como Lead,Brasil,,,,,,,,Modificação nos Dados Pessoais
124,659244,Landing Page Submission,Google,Não,Não,0,4.0,1638,4.0,E-mail Aberto,Brasil,Finanças,,Desempregado,Tocando,Incerto,Lead Encontrado,São Paulo,E-mail Aberto
125,659241,API Externa,WebSite de Parceiros,Não,Não,0,16.0,53,16.0,Conversa com Chatbot,Brasil,,,,,,,,Modificação nos Dados Pessoais
126,659238,Landing Page Submission,Tráfego Direto,Não,Não,0,1.0,127,1.0,Converteu como Lead,Brasil,Finanças,,Desempregado,Já é Estudante,,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
127,659221,Landing Page Submission,Busca Orgânica,Sim,Não,0,5.0,100,5.0,Página Visitada no Site,Brasil,Gestão da Cadeia de Suprimentos,,Desempregado,Desligado,,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
128,659217,Landing Page Submission,Google,Sim,Não,0,4.0,323,4.0,Cancelamento,Brasil,Negócios Internacionais,Várias Fontes,,,,,São Paulo,Cancelamento
129,659203,API Externa,Google,Não,Não,1,2.0,160,1.0,Conversa com Chatbot,Brasil,Programação,,Desempregado,,,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
130,659191,Lead Add Form,Google Ads,Não,Não,1,0.0,0,0.0,E-mail Aberto,,Marketing,,Empreendedor,Fez Cursos em Outras Empresas,Provavelmente Sim,Lead em Potencial,Rio de Janeiro,Modificação nos Dados Pessoais
